no,filename,value1,value2,value3,value4,rotamer,OTDS,G_kcal
64,OTDS_study_ring_64,166.2841764873251,174.32962305665447,169.57651620220798,163.1398265277495,syn_exo,0,5.267055876599999
65,OTDS_study_ring_65,-51.26311049836869,-73.00697878487736,-167.1143785267448,-165.21364200220816,app,0,5.311720078600002
66,OTDS_study_ring_66,44.01471209278504,58.22099213717726,-174.40374908887148,-153.47474376976334,syn_endo,1,5.324283378199998
67,OTDS_study_ring_67,-50.680172166750154,23.514923664004634,133.39793036430208,76.92671077122634,syn_exo,0,5.341910212999999
68,OTDS_study_ring_68,-173.07013274344345,-39.286518375064986,-125.9751762546073,171.68716757761737,syn_exo,0,5.379313496600005
69,OTDS_study_ring_69,-33.84043885268845,92.90619541595917,-112.58872902394468,171.87609583150933,syn_exo,0,5.3972747158000045
70,OTDS_study_ring_70,49.38376417838573,-143.9403356361196,-114.55963786709088,173.43119782976783,syn_exo,0,5.436111075400004
71,OTDS_study_ring_71,38.055479305896824,43.677794895262245,136.06845224691475,72.13080263247326,syn_exo,0,5.439192188800004
72,OTDS_study_ring_72,-33.53527099555466,179.66359340484115,-178.31576538525022,-150.57809518321005,syn_endo,0,5.565493953600002
73,OTDS_study_ring_73,-55.814456944217774,161.3613116085277,-179.67910911803847,-144.21311501178343,syn_endo,0,5.5949675500000025
74,OTDS_study_ring_74,-30.792677040442584,179.039369230305,178.23391027550852,87.92701461279057,syn_exo,0,5.603279390800007
75,OTDS_study_ring_75,52.29920607685989,74.98637244822295,163.59029896307297,-79.94296245615602,app,0,5.635499716199997
76,OTDS_study_ring_76,-31.351166369847583,79.57723645935998,-171.24728136957677,91.35792022404785,syn_exo,0,5.6431905574000085
77,OTDS_study_ring_77,31.77789341615348,37.22893569000931,158.3050083899653,155.1126238165968,syn_exo,0,5.646032824800001
78,OTDS_study_ring_78,-164.2299458639184,-40.0860696309649,-171.62828808592113,90.57362774132706,syn_exo,0,5.6482540926
79,OTDS_study_ring_79,-53.21932965878476,-83.63536196908859,-171.60282917361678,-161.26611203008514,syn_endo,1,5.6598381235999975
80,OTDS_study_ring_80,-34.36179799350047,-41.42215098033659,-173.70980701502035,91.43480574868171,syn_exo,0,5.673595653200006
81,OTDS_study_ring_81,-44.68911424919961,-114.51100571822514,168.83707092366217,159.76377134004215,syn_exo,0,5.840501238000008
82,OTDS_study_ring_82,-50.001856062488514,-70.82847441756049,-166.1857545282839,-164.55656012301603,app,1,5.851249307999998
83,OTDS_study_ring_83,36.20454800686416,-178.8895456896036,-128.52166190820628,172.1003250170896,syn_exo,0,5.862331762399999
84,OTDS_study_ring_84,33.19231908424995,168.8149788958097,-176.002544358302,-157.46919764650562,syn_endo,0,5.872124448399998
85,OTDS_study_ring_85,50.746098832783574,-163.04259788063877,149.59604388993426,78.0137026236723,syn_exo,0,5.886264131600006
86,OTDS_study_ring_86,168.76817598665335,162.92643801880482,179.70235445855394,89.9156326308739,syn_exo,0,5.899185700200007
87,OTDS_study_ring_87,-50.561743844848515,157.3727593616838,-137.03779906747988,166.09100379608563,syn_exo,0,6.0005758272
88,OTDS_study_ring_88,-34.94271685573305,-179.44288798033477,141.86339528961807,76.70884876481969,syn_exo,0,6.017008432000002
89,OTDS_study_ring_89,-173.82568063283605,-39.565050003395626,-120.4916381660078,175.61093724257208,syn_exo,0,6.028735770600004
90,OTDS_study_ring_90,39.09110210908158,-49.93208409950858,-133.5449009387798,169.98308321403562,syn_exo,0,6.03341715220001
91,OTDS_study_ring_91,-36.08974110023078,-153.1031543702363,-171.6966021698069,92.58296327098238,syn_exo,0,6.0700561286000045
92,OTDS_study_ring_92,-49.27866501044464,145.02845981294678,134.4827552376834,75.54791818219512,syn_exo,0,6.1776084823999975
93,OTDS_study_ring_93,53.866821247227996,77.32922647424661,141.66569148340454,76.93418087719608,syn_exo,0,6.1802596729999975
94,OTDS_study_ring_94,-169.1910534480689,-35.00218344844491,-170.2418822018667,161.7738337237308,syn_exo,0,6.246754399400005
95,OTDS_study_ring_95,174.11885689434476,59.65867793842751,176.23646989424822,-140.2499651406914,syn_endo,0,6.327030540000003
96,OTDS_study_ring_96,39.813468135379274,56.99915048057247,-166.7566945824706,-164.95306316163408,app,1,6.3431048758
97,OTDS_study_ring_97,41.023127416870146,55.85078064486027,-164.70406139643586,-173.4323001855761,syn_exo,0,6.3636695164000106
98,OTDS_study_ring_98,-50.777505788619656,23.389585992039482,133.3580008359206,78.83655352266481,syn_exo,0,6.404727143800009
99,OTDS_study_ring_99,169.53919912678379,34.1669808364957,136.48080116609924,72.39607287809572,syn_exo,0,6.426915937200006
100,OTDS_study_ring_100,-168.9827275201895,-157.81664719033986,-170.87632357099633,92.51651789177969,syn_exo,0,6.4635071443999985
101,OTDS_study_ring_101,-164.9681167636696,-36.13561521006558,-173.27455964641825,91.17437318628708,syn_exo,0,6.477193020199998
102,OTDS_study_ring_102,173.15231929772972,55.319833810485136,174.59607631141296,88.83863957295034,syn_exo,0,6.50884011520001
103,OTDS_study_ring_103,37.75033081645943,42.48381270429287,137.49203459641106,73.23127637160522,syn_exo,0,6.543472785200005
104,OTDS_study_ring_104,-39.534701632269105,-45.546934338964206,-167.8406997929936,-131.099250550709,syn_endo,0,6.5478436670000075
105,OTDS_study_ring_105,168.78104884258877,162.97597399204258,179.09992506322104,90.98291522026159,syn_exo,0,6.7977243522000075
106,OTDS_study_ring_106,172.339590262871,-72.73014512285965,-170.3395219155309,-157.99838127178228,syn_endo,0,6.815088456400007
107,OTDS_study_ring_107,52.44990345929033,75.03143586480032,167.3861480594532,-76.86400252010039,app,0,6.828320524799998
108,OTDS_study_ring_108,175.59518614485663,53.33817242773709,-177.20291865189571,-149.18617700859056,syn_endo,0,6.844800898800002
109,OTDS_study_ring_109,52.09374768116899,-28.48286548658454,-163.35160856740004,-164.63207627761255,app,0,6.857794121199999
110,OTDS_study_ring_110,-41.007379373477384,44.83411653413635,-167.55780252504886,-173.3006769757674,syn_exo,0,6.890014446600003
111,OTDS_study_ring_111,-41.44385147277903,48.152906701784346,-167.85881198883033,-164.31416712085183,app,1,6.927656576200003
112,OTDS_study_ring_112,-167.3464320815986,68.67786797937654,140.18306788755007,73.70277970526652,syn_exo,0,6.973228393000009
113,OTDS_study_ring_113,39.34115318943543,-52.53051057017102,164.733835568595,-80.63703998229535,app,0,6.97365831580001
114,OTDS_study_ring_114,169.66905543829827,168.57799334888026,-135.5280890747824,164.1133520933952,syn_exo,0,6.986842615
115,OTDS_study_ring_115,-38.10930555502536,55.791016212323505,162.6246769089916,-80.6119796201698,app,0,7.002893066200003
116,OTDS_study_ring_116,36.13360798850571,178.276260457077,-167.28538268205372,-165.73200920031186,app,0,7.023624898999999
